source,output,grade,source_grade,side,split,method,score,inner_method,inner_score,x,y,width,height
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778518429_5.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778518429_5.jpg,10,10,back,train,saturation_ratio,0.558083,,,101,416,779,1091
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778518430_7.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778518430_7.jpg,10,10,back,train,edges_ratio,0.469099,,,66,422,720,1008
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524402_1.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524402_1.jpg,10,10,back,train,saturation_ratio,0.558083,,,101,416,779,1091
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524402_3.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\test\10\back_img_1778524402_3.jpg,10,10,back,test,edges_ratio,0.469099,,,66,422,720,1008
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524414_55.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524414_55.jpg,10,10,back,val,edges_ratio,0.484387,,,69,412,724,1014
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524414_57.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524414_57.jpg,10,10,back,train,edges_ratio,0.481509,,,54,406,726,1016
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524415_59.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524415_59.jpg,10,10,back,train,saturation_ratio,0.592253,,,54,420,798,1117
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524416_61.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524416_61.jpg,10,10,back,train,edges_ratio,0.411143,,,119,577,669,937
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524416_63.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524416_63.jpg,10,10,back,val,edges_ratio,0.580694,,,102,418,795,1113
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524416_65.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524416_65.jpg,10,10,back,train,saturation_ratio,0.561208,,,90,398,778,1089
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524416_67.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524416_67.jpg,10,10,back,train,edges_ratio,0.499739,,,48,410,740,1036
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524416_69.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524416_69.jpg,10,10,back,val,edges_ratio,0.496625,,,161,399,738,1033
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524417_71.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524417_71.jpg,10,10,back,train,fallback,0.000000,,,94,432,756,1058
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524417_73.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524417_73.jpg,10,10,back,train,edges_ratio,0.578611,,,76,394,792,1109
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524417_75.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524417_75.jpg,10,10,back,val,edges_ratio,0.530708,,,55,418,759,1062
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524418_77.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524418_77.jpg,10,10,back,train,saturation_ratio,0.578205,,,89,400,789,1104
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524418_79.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524418_79.jpg,10,10,back,train,edges_ratio,0.585631,,,104,429,799,1118
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524418_81.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524418_81.jpg,10,10,back,val,saturation_ratio,0.541964,,,96,416,767,1074
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524419_83.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524419_83.jpg,10,10,back,train,fallback,0.000000,,,95,432,756,1058
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524419_85.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524419_85.jpg,10,10,back,train,edges_ratio,0.597695,,,92,412,805,1127
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524420_87.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524420_87.jpg,10,10,back,val,saturation_ratio,0.554030,,,77,412,771,1080
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524420_89.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524420_89.jpg,10,10,back,train,saturation_ratio,0.568484,,,79,400,781,1094
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524420_91.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524420_91.jpg,10,10,back,train,edges_ratio,0.425284,,,137,466,679,951
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524421_93.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524421_93.jpg,10,10,back,train,edges_ratio,0.600988,,,34,431,808,1131
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524422_99.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524422_99.jpg,10,10,back,train,edges_ratio,0.608937,,,62,365,754,1055
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524437_191.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524437_191.jpg,10,10,back,train,saturation_ratio,0.612707,,,64,416,811,1135
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524449_247.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524449_247.jpg,10,10,back,train,edges_ratio,0.606363,,,61,367,754,1055
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524450_253.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524450_253.jpg,10,10,back,train,edges_ratio,0.473655,,,80,418,715,1001
